state_ut,release_fy_2022_23_to_2024_25_crore,release_since_fy_2018_19_crore,uc_received_gfr_12c,scheme,source
Arunachal Pradesh,0.865,0.865,0,Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Assam,1.125,1.125,0,Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Chhattisgarh,2.183,3.683,"3,51,59,931",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Gujarat,0.6075,1.8225,"1,15,57,661",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Himachal Pradesh,0.0,7.29,"7,29,00,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Jharkhand,1.6625,4.9875,"3,26,79,489",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Karnataka,0.0,13.96,0,Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Kerala,1.625,6.455,"4,82,93,502",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Meghalaya,1.7715,1.9365,"1,77,15,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Mizoram,0.0,4.19,"4,19,00,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Nagaland,2.725,5.45,"5,45,00,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Odisha,3.1425,9.4275,"9,30,60,819",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Punjab,0.0,7.98,"3,99,00,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Rajasthan,0.0,6.28,"6,27,96,750",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Telangana,2.98,2.98,"1,76,49,403",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Tripura,0.0,2.11,"2,11,00,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Uttar Pradesh,0.0,7.75,"7,06,81,508",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Uttarakhand,2.48,2.48,"2,48,00,000",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
A & N Islands,2.18,2.28,"1,59,68,474",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
Puducherry,3.395,6.9,"6,05,33,389",Strengthening of DNA Analysis and Cyber Forensic Capacities in State FSLs,"PIB release, Annexure-II"
