state_ut,cases_2021,cases_2022,cases_2023,pct_change_2021_2023,source
Andhra Pradesh,1875,2341,2341,24.85,PIB release citing NCRB Crime in India
Arunachal Pradesh,47,14,24,-48.94,PIB release citing NCRB Crime in India
Assam,4846,1733,909,-81.24,PIB release citing NCRB Crime in India
Bihar,1413,1621,4450,214.93,PIB release citing NCRB Crime in India
Chhattisgarh,352,439,473,34.38,PIB release citing NCRB Crime in India
Goa,36,90,86,138.89,PIB release citing NCRB Crime in India
Gujarat,1536,1417,1995,29.88,PIB release citing NCRB Crime in India
Haryana,622,681,751,20.74,PIB release citing NCRB Crime in India
Himachal Pradesh,70,77,127,81.43,PIB release citing NCRB Crime in India
Jharkhand,953,967,1079,13.22,PIB release citing NCRB Crime in India
Karnataka,8136,12556,21889,169.04,PIB release citing NCRB Crime in India
Kerala,626,773,3295,426.36,PIB release citing NCRB Crime in India
Madhya Pradesh,589,826,685,16.3,PIB release citing NCRB Crime in India
Maharashtra,5562,8249,8103,45.69,PIB release citing NCRB Crime in India
Manipur,67,18,3,-95.52,PIB release citing NCRB Crime in India
Meghalaya,107,75,64,-40.19,PIB release citing NCRB Crime in India
Mizoram,30,1,31,3.33,PIB release citing NCRB Crime in India
Nagaland,8,4,2,-75.0,PIB release citing NCRB Crime in India
Odisha,2037,1983,2348,15.27,PIB release citing NCRB Crime in India
Punjab,551,697,511,-7.26,PIB release citing NCRB Crime in India
Rajasthan,1504,1833,2435,61.9,PIB release citing NCRB Crime in India
Sikkim,0,26,12,,PIB release citing NCRB Crime in India
Tamil Nadu,1076,2082,4121,282.99,PIB release citing NCRB Crime in India
Telangana,10303,15297,18236,77.0,PIB release citing NCRB Crime in India
Tripura,24,30,36,50.0,PIB release citing NCRB Crime in India
Uttar Pradesh,8829,10117,10794,22.26,PIB release citing NCRB Crime in India
Uttarakhand,718,559,494,-31.2,PIB release citing NCRB Crime in India
West Bengal,513,401,309,-39.77,PIB release citing NCRB Crime in India
A&N Islands,8,28,47,487.5,PIB release citing NCRB Crime in India
Chandigarh,15,27,23,53.33,PIB release citing NCRB Crime in India
D&N Haveli and Daman & Diu,5,5,6,20.0,PIB release citing NCRB Crime in India
Delhi,356,685,407,14.33,PIB release citing NCRB Crime in India
Jammu & Kashmir,154,173,185,20.13,PIB release citing NCRB Crime in India
Ladakh,5,3,1,-80.0,PIB release citing NCRB Crime in India
Lakshadweep,1,1,1,0.0,PIB release citing NCRB Crime in India
Puducherry,0,64,147,,PIB release citing NCRB Crime in India
