category,month,latitude,longitude,street,outcome,source
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.506855,-0.128078,On or near Spring Gardens,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516674,-0.132547,On or near Hanway Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507725,-0.125708,On or near Corner House Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510729,-0.135283,On or near Denman Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507115,-0.144408,On or near Bolton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494954,-0.136864,On or near Greencoat Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516178,-0.131904,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518456,-0.133209,On or near Percy Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510468,-0.130769,On or near Leicester Square,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.501162,-0.116252,On or near Addington Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510900,-0.127984,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509491,-0.125924,On or near William Iv Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513052,-0.132681,On or near Bourchier Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502428,-0.110508,On or near Pear Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502888,-0.117319,On or near Chicheley Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507097,-0.130864,On or near Parking Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517858,-0.130120,On or near Adeline Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518495,-0.135615,On or near Rathbone Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511790,-0.131925,On or near Dansey Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509909,-0.126298,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.504176,-0.149643,On or near Hamilton Mews,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.500978,-0.125524,On or near Bridge Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.504712,-0.139175,On or near Cleveland Row,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.506270,-0.137627,On or near Pall Mall Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510295,-0.132318,On or near Coventry Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.493937,-0.129472,On or near Page Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502823,-0.119257,On or near Theme/adventure Park,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519609,-0.139548,On or near Foley Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512117,-0.123121,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.508087,-0.124122,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.497497,-0.133922,On or near Strutton Ground,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.504176,-0.149643,On or near Hamilton Mews,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.497497,-0.133922,On or near Strutton Ground,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517782,-0.138296,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519092,-0.122330,On or near Bloomsbury Square,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518951,-0.116354,On or near Sandland Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.518456,-0.133209,On or near Percy Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519378,-0.135737,On or near Goodge Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495936,-0.141491,On or near Carlisle Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509491,-0.125924,On or near William Iv Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519933,-0.133899,On or near Shopping Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.519092,-0.122330,On or near Bloomsbury Square,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.501162,-0.116252,On or near Addington Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510345,-0.122502,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.506236,-0.141322,On or near Parking Area,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502888,-0.117319,On or near Chicheley Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516820,-0.127583,On or near Dyott Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.506541,-0.144533,On or near Ashburton Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495415,-0.130794,On or near Monck Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511783,-0.129778,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495415,-0.130794,On or near Monck Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.516785,-0.126532,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514246,-0.131436,On or near Nightclub,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509158,-0.134930,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514185,-0.135459,On or near Berwick Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517803,-0.133971,On or near Percy Mews,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511022,-0.119880,On or near Strand,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.517782,-0.138296,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.515939,-0.132693,On or near Soho Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499783,-0.108240,On or near Cooper Close,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.498553,-0.135291,On or near Caxton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495936,-0.141491,On or near Carlisle Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514286,-0.132818,On or near Chapone Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507832,-0.123383,On or near Villiers Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507446,-0.137521,On or near Masons Yard,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509909,-0.126298,On or near Theatre/concert Hall,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.496941,-0.130617,On or near Conference/exhibition Centre,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.494818,-0.117089,On or near Pratt Walk,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.499042,-0.111930,On or near Lambeth North,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.495415,-0.130794,On or near Monck Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.507725,-0.125708,On or near Corner House Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.509251,-0.133398,On or near St James's Market,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514286,-0.132818,On or near Chapone Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.511096,-0.122226,On or near Southampton Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514286,-0.132818,On or near Chapone Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.510295,-0.132318,On or near Coventry Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.514867,-0.138790,On or near Further/higher Educational Building,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.512133,-0.117918,On or near Montreal Place,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.513150,-0.138845,On or near Carnaby Street,,UK Police street-level API sample around central London
anti-social-behaviour,2026-06,51.502888,-0.117319,On or near Chicheley Street,,UK Police street-level API sample around central London
