indicator_name,estimate,estimate_type,estimate_type_detail,estimate_geographic_location,relative_standard_error,source
NIBRS crimes against persons (Total),4143159.29313466,count,,National,0.00884995795105414,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),390371.563038901,count,,National,0.0462618579234401,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3070985.17752487,count,,National,0.00593799003361696,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2236648.91518738,count,,National,0.00749859273996816,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),336529.218915115,count,,National,0.021246224202443,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),146029.886228608,count,,National,0.0149736062280187,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),83567.5201631722,count,,National,0.0147686978051053,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),354292.597099576,count,,National,0.0267702249656422,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),111131.386663273,count,,National,0.0233136813578901,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1702248.0982233,count,,National,0.0109368332400421,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1749585.22843201,count,,National,0.00584246107648237,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3420867.59656759,count,,National,0.00896509011487679,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),722291.69656707,count,,National,0.0117870755985025,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3405986.94587322,count,,National,0.00829946678201656,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),441400.507929629,count,,National,0.0138957291050053,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),295771.839331812,count,,National,0.0305912390094096,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),3634311.76558286,count,,National,0.00877714050226794,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),432081.584887718,count,,National,0.0131983253666507,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),76765.9426640872,count,,National,0.0173497200690274,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1396874.23238169,count,,National,0.00792351071265602,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),884861.105884488,count,,National,0.00726630750309124,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),1595609.04757505,count,,National,0.00969144273994973,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),711138.541073167,count,,National,0.022525905607325,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),315318.595865948,count,,National,0.027358577761913,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),708933.948424282,count,,National,0.0279301832602242,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),2810260.99626066,count,,National,0.00737019392057402,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),919282.475279986,count,,National,0.0162722142671886,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),208492.774461418,count,,National,0.0232420483710176,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),359999.657454549,count,,National,0.0144205574475437,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),155319.02805795,count,,National,0.0172520593172288,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),7155.20957838575,count,,National,0.0140664442613723,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),31594.7730403852,count,,National,0.0289484308005196,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),51551.4060448978,count,,National,0.036413250154987,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),9600.87570977964,count,,National,0.0800284623093099,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),189231.640962201,count,,National,0.0144446284901718,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),643705.507640805,count,,National,0.0171990938571873,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),269359.121833667,count,,National,0.0189695767765296,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),577936.875736338,count,,National,0.00876132781822682,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),764049.71934233,count,,National,0.00862750609793317,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),840006.294444134,count,,National,0.00948136195931985,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),803417.445718786,count,,National,0.00924712284003294,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),16817.3358821479,count,,National,0.048915448909881,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),32396.3594083704,count,,National,0.0652587492856279,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),12594.5709349988,count,,National,0.0751268433695017,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),35546.8578182616,count,,National,0.0509792344904594,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),44880.8159462808,count,,National,0.051045063596854,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),42658.5364224166,count,,National,0.0561313341422245,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
NIBRS crimes against persons (Total),37852.2580642914,count,,National,0.0632046617169067,"BJS/FBI NIBRS National Estimates API, violent incidents dataset"
